"brukercode","acquisition_date","acquisition_time"
"08fe3876_ecee_4ddc_9aa9_a84f605757f7","2015-12-14","11:09:33"
"2f8cc96f_b37e_4a03_a56d_849e68b8d18f","2015-12-14","11:07:40"
"3fed03ce_a8f4_4b50_99cc_64b69f0bdf5d","2015-12-14","11:09:14"
"4f1de666_5de5_42f0_90ff_81ca93786025","2015-12-14","11:07:30"
"578adc3c_90ef_4854_badb_85359b9e609f","2015-12-14","11:09:28"
"95ca70e6_bfc5_46a6_b9aa_06bb4773a063","2015-12-14","11:07:11"
"bef06f4a_5b24_4be5_9e1f_3d37df65b02e","2015-12-14","11:08:34"
"d4c3ab48_ed96_4810_a0a0_2ec8a049c69d","2015-12-14","11:07:21"
"72672aaf_4548_4b2d_a4d0_a58029a21812","2015-12-09","09:15:20"
"57ca2764_0cd4_4877_9985_aa4fb5e8dc63","2015-12-03","15:28:13"
"d0f35d91_1d44_4de8_9c1f_fda9f542f10b","2015-12-03","15:28:07"
"035995c6_a59d_41d7_890f_a0bccc644e65","2015-12-15","11:35:02"
"0a6aaaac_e0e4_4460_9c8c_cd86d5f2c136","2015-12-15","11:34:55"
"10574f1b_c9b7_4896_ace0_7b97d3eaa2f7","2015-12-15","11:33:17"
"231fb216_39c2_49f1_9080_d90594cb649e","2015-12-15","11:35:18"
"25d1d160_1519_48aa_9119_ab3a7b448500","2015-12-15","11:33:00"
"35ca7707_eb02_4d01_825a_fe2bec27a809","2015-12-15","11:33:07"
"39792fb4_dbed_4c97_8f42_1ae45f6cd0ee","2015-12-15","11:32:41"
"4a1cf3ea_62c0_4d36_85d7_3a8fdd7cfea0","2015-12-15","11:34:22"
"4cc923bd_6516_45cb_9ce1_e979b6eb0502","2015-12-15","11:34:33"
"571da154_6110_4d55_af4a_518451990b94","2015-12-15","11:33:53"
"5dc6adf6_4926_4e22_9da8_2892c9b8d54a","2015-12-15","11:33:48"
"5e7c3b05_4d22_4eb9_b269_c988e391be5a","2015-12-15","11:35:32"
"5eb963bf_5e34_4410_9895_9233dcdb864e","2015-12-15","11:34:05"
"67e550d3_7b88_4b1e_be69_9738b0d1b1fb","2015-12-15","11:35:13"
"6f630d33_b2ba_48dd_8ac6_42083116a9e5","2015-12-15","11:36:02"
"7fc9b6ae_ec34_45b3_b107_e79646d2aa57","2015-12-15","11:35:52"
"8126cd15_bea3_423a_bd22_70f6fa6b1185","2015-12-15","11:34:40"
"8505e367_78bc_4d85_a688_0dfcc1b2ab3c","2015-12-15","11:33:35"
"8b4235bb_757a_42db_b51e_9913c5bd54fe","2015-12-15","11:35:43"
"9e46114b_1389_47e1_8b73_bd63b901daa4","2015-12-15","11:33:23"
"a1f0f738_1555_4b53_8e38_375938e8a310","2015-12-15","11:32:53"
"a2f769d9_feb9_422e_8022_193c253eff64","2015-12-15","11:35:26"
"cd08fad8_017d_490d_a2ff_7a025035592c","2015-12-15","11:34:49"
"dfef8831_0d18_4c15_a64b_8506bb4bf190","2015-12-15","11:34:12"
"04a616bf_3503_454e_a35a_daf96454e2bd","2015-11-21","09:24:35"
"1303252c_6b4b_431f_a053_efb466268c19","2015-11-21","09:25:08"
"3af913b1_f05a_4233_a328_a50000646cfc","2015-11-21","09:25:14"
"3dd9604c_2b0a_422b_a588_c18f55acac79","2015-11-21","09:25:24"
"454d661a_0891_48f6_9e51_db179224fa33","2015-11-21","09:24:12"
"4a03b696_a79a_4856_b654_ff200ceab7b9","2015-11-21","09:25:35"
"606ffcb5_9bd3_44fc_8881_72eca0be713e","2015-11-21","09:24:25"
